"WTSBA40.Code.or.Value","WTSBA40.Value.Description","WTSBA40.Count","WTSBA40.Cumulative","WTSBA40.Skip.to.Item"
"0 to 361622.10999","Range of Values",946,946,NA
".","Missing",65,1011,NA
