"LBC178LA.Code.or.Value","LBC178LA.Value.Description","LBC178LA.Count","LBC178LA.Cumulative","LBC178LA.Skip.to.Item"
"0.11 to 12.75","Range of Values",247,247,NA
".","Missing",0,247,NA
