"URXUAB.Code.or.Value","URXUAB.Value.Description","URXUAB.Count","URXUAB.Cumulative","URXUAB.Skip.to.Item"
"0.28 to 1280","Range of Values",2588,2588,NA
".","Missing",104,2692,NA
