"RFXC059.Code.or.Value","RFXC059.Value.Description","RFXC059.Count","RFXC059.Cumulative","RFXC059.Skip.to.Item"
"-7.774 to 5.259","Range of Values",33700,33700,NA
".","Missing",21,33721,NA
