"DS2TCHOL.Code.or.Value","DS2TCHOL.Value.Description","DS2TCHOL.Count","DS2TCHOL.Cumulative","DS2TCHOL.Skip.to.Item"
"1 to 160","Range of Values",318,318,NA
".","Missing",9020,9338,NA
