"LBXNFOA.Code.or.Value","LBXNFOA.Value.Description","LBXNFOA.Count","LBXNFOA.Cumulative","LBXNFOA.Skip.to.Item"
"0.07 to 20.4","Range of Values",1993,1993,NA
".","Missing",177,2170,NA
