"LBX4CE.Code.or.Value","LBX4CE.Value.Description","LBX4CE.Count","LBX4CE.Cumulative","LBX4CE.Skip.to.Item"
"0.028","0.028",2866,2866,NA
".","Missing",306,3172,NA
