"LBX187LA.Code.or.Value","LBX187LA.Value.Description","LBX187LA.Count","LBX187LA.Cumulative","LBX187LA.Skip.to.Item"
"1.1 to 145","Range of Values",2307,2307,NA
".","Missing",240,2547,NA
