"LBDPFUAL.Code.or.Value","LBDPFUAL.Value.Description","LBDPFUAL.Count","LBDPFUAL.Cumulative","LBDPFUAL.Skip.to.Item"
"0","At or above the detection limit",751,751,NA
"1","Below lower detection limit",1242,1993,NA
".","Missing",177,2170,NA
