"LBDPDTLC.Code.or.Value","LBDPDTLC.Value.Description","LBDPDTLC.Count","LBDPDTLC.Cumulative","LBDPDTLC.Skip.to.Item"
"0","detectable result",517,517,NA
"1","below detectable limit",1162,1679,NA
".","Missing",595,2274,NA
