"DR1TM221.Code.or.Value","DR1TM221.Value.Description","DR1TM221.Count","DR1TM221.Cumulative","DR1TM221.Skip.to.Item"
"0 to 3.879","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
