"LBXSF6SI.Code.or.Value","LBXSF6SI.Value.Description","LBXSF6SI.Count","LBXSF6SI.Cumulative","LBXSF6SI.Skip.to.Item"
"0.0707 to 59.7","Range of Values",8055,8055,NA
".","Missing",1110,9165,NA
