"LBDF03LC.Code.or.Value","LBDF03LC.Value.Description","LBDF03LC.Count","LBDF03LC.Cumulative","LBDF03LC.Skip.to.Item"
"0","At or above the detection limit",246,246,NA
"1","Below lower detection limit",1,247,NA
".","Missing",17,264,NA
