"BAXFTC42.Code.or.Value","BAXFTC42.Value.Description","BAXFTC42.Count","BAXFTC42.Cumulative","BAXFTC42.Skip.to.Item"
"0 to 29","Range of Values",1094,1094,NA
".","Missing",1992,3086,NA
