"URDUMMAL.Code.or.Value","URDUMMAL.Value.Description","URDUMMAL.Count","URDUMMAL.Cumulative","URDUMMAL.Skip.to.Item"
"0","At or above the detection limit",1267,1267,NA
"1","below lower detection limit",1558,2825,NA
".","Missing",154,2979,NA
