"DXXL4BMD.Code.or.Value","DXXL4BMD.Value.Description","DXXL4BMD.Count","DXXL4BMD.Cumulative","DXXL4BMD.Skip.to.Item"
"0.465 to 1.934","Range of Values",2637,2637,NA
".","Missing",1071,3708,NA
