"OPDDTIL.Code.or.Value","OPDDTIL.Value.Description","OPDDTIL.Count","OPDDTIL.Cumulative","OPDDTIL.Skip.to.Item"
"0","No",289,289,NA
"1","Yes",7,296,NA
"3","Ungradable",6,302,NA
".","Missing",2632,2934,NA
