"BMXHT.Code.or.Value","BMXHT.Value.Description","BMXHT.Count","BMXHT.Cumulative","BMXHT.Skip.to.Item"
"79 to 199.1","Range of Values",9363,9363,NA
".","Missing",1114,10477,NA
