"DXXL3A.Code.or.Value","DXXL3A.Value.Description","DXXL3A.Count","DXXL3A.Cumulative","DXXL3A.Skip.to.Item"
"6.64 to 23.85","Range of Values",6570,6570,NA
".","Missing",1615,8185,NA
