"URXMHH.Code.or.Value","URXMHH.Value.Description","URXMHH.Count","URXMHH.Cumulative","URXMHH.Skip.to.Item"
"0.14 to 9326.1","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
