"MCQ260FD.Code.or.Value","MCQ260FD.Value.Description","MCQ260FD.Count","MCQ260FD.Cumulative","MCQ260FD.Skip.to.Item"
"4","Mother's father",101,101,"MCQ250G"
".","Missing",10369,10470,""
