"NHCODE.Code.or.Value","NHCODE.Value.Description","NHCODE.Count","NHCODE.Cumulative","NHCODE.Skip.to.Item"
"Standard generic ingredient code","Value was recorded",9138,9138,NA
"< blank >","Missing",6505,15643,NA
