"DRD370K.Code.or.Value","DRD370K.Value.Description","DRD370K.Count","DRD370K.Cumulative","DRD370K.Skip.to.Item"
"1","Yes",151,151,""
"2","No",5420,5571,"DRD370L"
".","Missing",4379,9950,""
