"BPQ150A.Code.or.Value","BPQ150A.Value.Description","BPQ150A.Count","BPQ150A.Cumulative","BPQ150A.Skip.to.Item"
"1","Yes",2167,2167,NA
"2","No",5288,7455,NA
".","Missing",2495,9950,NA
