"CIQG17E.Code.or.Value","CIQG17E.Value.Description","CIQG17E.Count","CIQG17E.Cumulative","CIQG17E.Skip.to.Item"
"1","Yes",60,60,NA
"2","No",31,91,NA
"7","Refused",0,91,NA
"9","Don't know",0,91,NA
".","Missing",687,778,NA
