"URXUCS.Code.or.Value","URXUCS.Value.Description","URXUCS.Count","URXUCS.Cumulative","URXUCS.Skip.to.Item"
"0.223 to 33.27","Range of Values",2808,2808,NA
".","Missing",171,2979,NA
