"RHQ560U.Code.or.Value","RHQ560U.Value.Description","RHQ560U.Count","RHQ560U.Cumulative","RHQ560U.Skip.to.Item"
"1","Months",84,84,NA
"2","Years",339,423,NA
"7","Refused",0,423,NA
"9","Don't know",0,423,NA
".","Missing",3442,3865,NA
