"OSQ060.Code.or.Value","OSQ060.Value.Description","OSQ060.Count","OSQ060.Cumulative","OSQ060.Skip.to.Item"
"1","Yes",375,375,""
"2","No",4652,5027,"End of Section"
"7","Refused",1,5028,"End of Section"
"9","Don't know",12,5040,"End of Section"
".","Missing",1,5041,""
