"LBXMPSI.Code.or.Value","LBXMPSI.Value.Description","LBXMPSI.Count","LBXMPSI.Cumulative","LBXMPSI.Skip.to.Item"
"5.5 to 13.5","Range of Values",8384,8384,NA
".","Missing",795,9179,NA
