"HOD050.Code.or.Value","HOD050.Value.Description","HOD050.Count","HOD050.Cumulative","HOD050.Skip.to.Item"
"1 to 12","Range of Values",9977,9977,NA
"13","13 or more",62,10039,NA
"777","Refused",4,10043,NA
"999","Don't know",12,10055,NA
".","Missing",94,10149,NA
