"LBXSATSI.Code.or.Value","LBXSATSI.Value.Description","LBXSATSI.Count","LBXSATSI.Cumulative","LBXSATSI.Skip.to.Item"
"3 to 1925","Range of Values",6891,6891,NA
".","Missing",554,7445,NA
