"LBDSTRSI.Code.or.Value","LBDSTRSI.Value.Description","LBDSTRSI.Count","LBDSTRSI.Cumulative","LBDSTRSI.Skip.to.Item"
"0.158 to 28.97","Range of Values",6431,6431,NA
".","Missing",549,6980,NA
