"BMXARML.Code.or.Value","BMXARML.Value.Description","BMXARML.Count","BMXARML.Cumulative","BMXARML.Skip.to.Item"
"9 to 47.7","Range of Values",9276,9276,NA
".","Missing",486,9762,NA
