"OPXDRCDR.Code.or.Value","OPXDRCDR.Value.Description","OPXDRCDR.Count","OPXDRCDR.Cumulative","OPXDRCDR.Skip.to.Item"
"0 to 1","Range of Values",412,412,NA
"2","Ungradable",6,418,NA
".","Missing",3445,3863,NA
