"URDUCDLC.Code.or.Value","URDUCDLC.Value.Description","URDUCDLC.Count","URDUCDLC.Cumulative","URDUCDLC.Skip.to.Item"
"0","At or above the detection limit",2544,2544,NA
"1","Below lower detection limit",304,2848,NA
".","Missing",93,2941,NA
