"LBDMPAHL.Code.or.Value","LBDMPAHL.Value.Description","LBDMPAHL.Count","LBDMPAHL.Cumulative","LBDMPAHL.Skip.to.Item"
"0","At or above the detection limit",1027,1027,NA
"1","Below lower detection limit",877,1904,NA
".","Missing",273,2177,NA
