"URXDCB.Code.or.Value","URXDCB.Value.Description","URXDCB.Count","URXDCB.Cumulative","URXDCB.Skip.to.Item"
"0.14 to 1590","Range of Values",2525,2525,NA
".","Missing",87,2612,NA
