"URX2MH.Code.or.Value","URX2MH.Value.Description","URX2MH.Count","URX2MH.Cumulative","URX2MH.Skip.to.Item"
"3.54 to 2220","Range of Values",2266,2266,NA
".","Missing",339,2605,NA
