"DR1TMOIS.Code.or.Value","DR1TMOIS.Value.Description","DR1TMOIS.Count","DR1TMOIS.Cumulative","DR1TMOIS.Skip.to.Item"
"0 to 18266.25","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
