"WBXP099.Code.or.Value","WBXP099.Value.Description","WBXP099.Count","WBXP099.Cumulative","WBXP099.Skip.to.Item"
"-176.6161 to 175.9392","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
