"DSQTVB12.Code.or.Value","DSQTVB12.Value.Description","DSQTVB12.Count","DSQTVB12.Cumulative","DSQTVB12.Skip.to.Item"
"0.02 to 5050","Range of Values",2593,2593,NA
".","Missing",7163,9756,NA
