"FIALANG.Code.or.Value","FIALANG.Value.Description","FIALANG.Count","FIALANG.Cumulative","FIALANG.Skip.to.Item"
"1","English",9185,9185,NA
"2","Spanish",798,9983,NA
".","Missing",139,10122,NA
