"DS1IFIBE.Code.or.Value","DS1IFIBE.Value.Description","DS1IFIBE.Count","DS1IFIBE.Cumulative","DS1IFIBE.Skip.to.Item"
"0.03 to 18","Range of Values",162,162,NA
".","Missing",5796,5958,NA
