"URXTCC.Code.or.Value","URXTCC.Value.Description","URXTCC.Count","URXTCC.Cumulative","URXTCC.Skip.to.Item"
"0.28 to 406.34","Range of Values",1976,1976,NA
".","Missing",149,2125,NA
