"PAXMTSH.Code.or.Value","PAXMTSH.Value.Description","PAXMTSH.Count","PAXMTSH.Cumulative","PAXMTSH.Skip.to.Item"
"0 to 9605.754","Range of Values",1307994,1307994,NA
".","Missing",0,1307994,NA
