"OHD02LAS.Code.or.Value","OHD02LAS.Value.Description","OHD02LAS.Count","OHD02LAS.Cumulative","OHD02LAS.Skip.to.Item"
"0 to 12","Range of Values",1365,1365,NA
"99","Calculation cannot be determined",428,1793,NA
".","Missing",4965,6758,NA
