"TYXP165.Code.or.Value","TYXP165.Value.Description","TYXP165.Count","TYXP165.Cumulative","TYXP165.Skip.to.Item"
"-299 to 180","Range of Values",2083,2083,NA
".","Missing",3502,5585,NA
