"ARQ023GG.Code.or.Value","ARQ023GG.Value.Description","ARQ023GG.Count","ARQ023GG.Cumulative","ARQ023GG.Skip.to.Item"
"1","ENTER AGE IN YEARS",13,13,NA
"3","HAD LESS THAN 1 YEAR AGO BUT NOT NOW",4,17,NA
"7","Refused",0,17,NA
"9","Don't know",0,17,NA
".","Missing",5089,5106,NA
