"DR2IS100.Code.or.Value","DR2IS100.Value.Description","DR2IS100.Count","DR2IS100.Cumulative","DR2IS100.Skip.to.Item"
"0 to 4.613","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
