"VIQ051B.Code.or.Value","VIQ051B.Value.Description","VIQ051B.Count","VIQ051B.Cumulative","VIQ051B.Skip.to.Item"
"1","No difficulty",4035,4035,NA
"2","A little difficulty",592,4627,NA
"3","Moderate difficulty",183,4810,NA
"4","Extreme difficulty",69,4879,NA
"5","Unable to do because of eyesight",35,4914,NA
"6","Does not do this for other reasons",63,4977,NA
"77","Refused",0,4977,NA
"99","Don't know",1,4978,NA
".","Missing",2289,7267,NA
