"DR2TS180.Code.or.Value","DR2TS180.Value.Description","DR2TS180.Count","DR2TS180.Cumulative","DR2TS180.Skip.to.Item"
"0 to 36.196","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
