"BIXS075K.Code.or.Value","BIXS075K.Value.Description","BIXS075K.Count","BIXS075K.Cumulative","BIXS075K.Skip.to.Item"
"302.28 to 899.91","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
