"PFD069C.Code.or.Value","PFD069C.Value.Description","PFD069C.Count","PFD069C.Cumulative","PFD069C.Skip.to.Item"
"122 to 9131","Range of Values",38,38,NA
"66666","Since Birth",0,38,NA
"77777","Refused",0,38,NA
"99999","Don't know",0,38,NA
".","Missing",9784,9822,NA
