"LBXGTC.Code.or.Value","LBXGTC.Value.Description","LBXGTC.Count","LBXGTC.Cumulative","LBXGTC.Skip.to.Item"
"15 to 3122","Range of Values",7266,7266,NA
"7","Fill Value of Limit of Detection",2,7268,NA
".","Missing",714,7982,NA
