"SPXBF257.Code.or.Value","SPXBF257.Value.Description","SPXBF257.Count","SPXBF257.Cumulative","SPXBF257.Skip.to.Item"
"203 to 4988","Range of Values",496,496,NA
".","Missing",7699,8195,NA
