"WHD010.Code.or.Value","WHD010.Value.Description","WHD010.Count","WHD010.Cumulative","WHD010.Skip.to.Item"
"48 to 83","Range of Values",6080,6080,NA
"7777","Refused",1,6081,NA
"9999","Don't know",80,6161,NA
".","Missing",52,6213,NA
