"URDFLOW2.Code.or.Value","URDFLOW2.Value.Description","URDFLOW2.Count","URDFLOW2.Cumulative","URDFLOW2.Skip.to.Item"
"0.006 to 9.514","Range of Values",1223,1223,NA
".","Missing",6713,7936,NA
