"DS2TTFAT.Code.or.Value","DS2TTFAT.Value.Description","DS2TTFAT.Count","DS2TTFAT.Cumulative","DS2TTFAT.Skip.to.Item"
"0 to 28.8","Range of Values",486,486,NA
".","Missing",9276,9762,NA
