"VIXKLG2.Code.or.Value","VIXKLG2.Value.Description","VIXKLG2.Count","VIXKLG2.Cumulative","VIXKLG2.Skip.to.Item"
"0 to 180","Range of Values",6451,6451,NA
"888","Could not obtain",42,6493,NA
".","Missing",497,6990,NA
