"OPDDNVE.Code.or.Value","OPDDNVE.Value.Description","OPDDNVE.Count","OPDDNVE.Cumulative","OPDDNVE.Skip.to.Item"
"0","None",3191,3191,NA
"1","Questionable",7,3198,NA
"2","< 1/2 Disc Area",1,3199,NA
"3",">= 1/2 Disc Area",0,3199,NA
".","Missing",664,3863,NA
