"LBXSTP.Code.or.Value","LBXSTP.Value.Description","LBXSTP.Count","LBXSTP.Cumulative","LBXSTP.Skip.to.Item"
"4.7 to 10.2","Range of Values",6544,6544,NA
".","Missing",435,6979,NA
