"WBXP058.Code.or.Value","WBXP058.Value.Description","WBXP058.Count","WBXP058.Cumulative","WBXP058.Skip.to.Item"
"-171.2024 to 154.4859","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
