"LBDBMNLC.Code.or.Value","LBDBMNLC.Value.Description","LBDBMNLC.Count","LBDBMNLC.Cumulative","LBDBMNLC.Skip.to.Item"
"0","At or above the detection limit",4987,4987,NA
"1","Below lower detection limit",0,4987,NA
".","Missing",828,5815,NA
