"LBC156LA.Code.or.Value","LBC156LA.Value.Description","LBC156LA.Count","LBC156LA.Cumulative","LBC156LA.Skip.to.Item"
"0.15 to 29.16","Range of Values",247,247,NA
".","Missing",0,247,NA
